pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
Kepler-357 c,2.67,7.61,576.0,0.12,19.404,5036.0,0.834,0.794,0.06,2.2
Kepler-308 c,2.16,5.31,714.0,0.123,58.679,5895.0,0.941,0.92,-0.04,2.9
Kepler-124 b,0.73,0.315,892.0,0.039,198.843,4984.0,0.636,0.706,-0.46,4.45
Kepler-235 b,2.23,5.6,731.0,0.037,44.0,4255.0,0.554,0.581,-0.51,2.77
Kepler-392 c,1.1,1.37,901.0,0.093,185.098,5938.0,1.129,0.874,-0.4362,5.66
Kepler-360 c,2.1,5.06,860.0,0.075,146.5,6053.0,1.058,0.994,0.15,3.0
Kepler-363 b,1.16,1.65,1347.0,0.048,1000.243,5593.0,1.485,1.226,0.3965,5.81
Kepler-319 d,2.29,5.86,528.0,0.191,17.962,5526.0,0.903,0.933,0.06,2.68
Kepler-319 b,1.63,3.29,1023.0,0.051,253.665,5526.0,0.903,0.933,0.06,4.17
Kepler-398 c,1.01,1.01,536.0,0.087,20.556,4493.0,0.613,0.649,0.0528,5.39
Kepler-399 b,0.96,0.84,773.0,0.103,35.63,5502.0,0.68,0.902,0.14,5.22
